Empoyee_No,Empoyee_Name,FirstName,LastName,JobGrade,Contract_Type,Birthday,Status,Sex,Age,Update_DT,Create_DT


,
,,
,,,
,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,
Test,,,,,,,,,,,
Test,Test,,,,,,,,,,
Test,Test,Test,,,,,,,,,
Test,Test,Test,Test,,,,,,,,
Test,Test,Test,Test,Test,,,,,,,
Test,Test,Test,Test,Test,Test,,,,,,
Test,Test,Test,Test,Test,Test,Test,,,,,
Test,Test,Test,Test,Test,Test,Test,Test,,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup
Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup
0001,Trina Trantow,Trina,Trantow,14,P,1993-10-16,Marry,Female,28,2019-10-08,2018-02-02
0002,Glenda Purdy,Glenda,Purdy,17,C,1975-01-20,
Marry,Male,37,2019-08-11,2018-01-10
0003,Denis Hickle,Denis,Hickle,20,P,1975-11-16,Single,Female,32,2019-08-07,2018-01-06
0004,Kristan Stehr,Kristan,Stehr,14,P,1985-01-22,Marry,Female,41,2019-11-14,2018-10-14
0005,Sharan Kuhic,Sharan,Kuhic,18,P,1972-08-07,Marry,Female,38,2019-04-06,2018-05-25
0006,Carmelo Dietrich,Carmelo,Dietrich,17,P,1971-05-17,Marry,Female,33,2019-10-24,2018-12-15
0007,Darwin Bartell,Darwin,Bartell,19,C,1974-03-05,Single,Male,42,2019-12-28,2018-01-24
0008,Tenisha Schulist,Tenisha,Schulist,19,C,1993-05-16,Marry,Female,46,2019-12-21,2018-04-04
0009,Vanessa Friesen,Vanessa,Friesen,15,P,1960-06-17,Marry,Female,48,2019-12-28,2018-05-31
0010,Kristopher Simonis,Kristopher,Simonis,14,P,1957-09-02,Marry,Female,29,2019-01-06,2018-07-10
0011,Mack Pfannerstill,Mack,Pfannerstill,20,C,1979-04-02,Single,Female,35,2019-10-11,2018-07-23
0012,Reiko King,Reiko,King,15,C,1959-01-19,Single,Female,33,2019-08-14,2018-05-19
0013,Princess Lockman,Princess,Lockman,20,P,1987-05-23,Single,Male,43,2019-04-05,2018-10-27
0014,Palmer Cartwright,Palmer,Cartwright,12,P,1994-04-12,Single,Male,48,2019-10-01,2018-04-05
0015,Gonzalo Wolff,Gonzalo,Wolff,17,C,1990-05-16,Single,Male,46,2019-03-10,2018-07-05
0016,Demetrius Heller,Demetrius,Heller,20,P,1990-03-18,Marry,Male,41,2019-07-19,2018-01-13
0017,Carlota Kautzer,Carlota,Kautzer,11,C,1988-01-26,Marry,Female,30,2019-02-10,2018-04-25
0018,Monique O'Kon,Monique,O'Kon,11,P,1961-09-14,Single,Female,40,2019-01-31,2018-04-11
0019,Maurice Stroman,Maurice,Stroman,12,P,1975-05-26,Marry,Male,41,2019-05-21,2018-10-04
