Employee_ID,Date_of_Birth,Date_Joined_Company,Date_Left_Company,Gender_MFU,Job_Title,First_Name,Middle_Name,Last_Name,Other_Details


,
,,
,,,
,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
Test,,,,,,,,,
Test,Test,,,,,,,,
Test,Test,Test,,,,,,,
Test,Test,Test,Test,,,,,,
Test,Test,Test,Test,Test,,,,,
Test,Test,Test,Test,Test,Test,,,,
Test,Test,Test,Test,Test,Test,Test,,,
Test,Test,Test,Test,Test,Test,Test,Test,,
Test,Test,Test,Test,Test,Test,Test,Test,Test,
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup
Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup,Dup
EM0001,1971-08-28,1987-06-17,1982-09-09,Male,Tester,Misha,Becki,Towne,Detail
EM0002,1996-12-23,1964-12-15,1987-12-29,Male,DataEngineer,
Fred,Monte,Lynch,Detail
EM0003,1996-08-07,1967-07-09,1994-07-28,Female,DataScience,Irwin,Bryon,Aufderhar,Detail
EM0004,1995-03-08,1970-01-20,1993-08-06,Female,Programmer,Hosea,Della,Klein,Detail
EM0005,1984-04-28,1969-09-18,1978-11-12,Male,Tester,Sherilyn,Morgan,Toy,Detail
EM0006,1979-04-01,1996-04-15,1961-03-13,Male,Programmer,Emmitt,Barton,Will,Detail
EM0007,1982-08-27,1984-11-09,1965-04-19,Male,Tester,Sandie,Mohamed,Rohan,Detail
EM0008,1959-10-22,1964-07-29,1970-07-30,Male,Tester,Catherine,Brant,Koelpin,Detail
EM0009,1982-02-03,1990-04-27,1969-10-29,Female,DataScience,Sherilyn,Keven,Kemmer,Detail
EM0010,1964-05-01,1986-03-31,1973-06-25,Male,Tester,Glen,Jesus,Quitzon,Detail
EM0011,1981-08-28,1986-05-11,1989-01-15,Male,Programmer,Trula,Heriberto,Mosciski,Detail
EM0012,1960-11-15,1957-07-27,1968-12-08,Male,UX/UI,Alaina,Emmanuel,Ward,Detail
EM0013,1980-09-04,1976-10-29,1992-09-04,Female,DataEngineer,Amber,Johnny,Schimmel,Detail
EM0014,1993-01-04,1985-09-06,1971-07-26,Male,Programmer,Francisco,Giovanni,Stiedemann,Detail
EM0015,1993-06-04,1962-01-14,1961-05-19,Female,DataScience,Kenneth,Harley,Bednar,Detail
EM0016,1989-08-06,1974-06-02,1973-11-05,Female,DataScience,Norene,Zita,Streich,Detail
EM0017,1989-06-23,1991-07-12,1993-11-24,Female,Programmer,Anthony,Chong,Roob,Detail
EM0018,1993-06-20,1976-11-24,1973-10-03,Female,Programmer,Carlos,Sydney,Gottlieb,Detail
EM0019,1993-03-30,1989-03-23,1960-05-29,Female,DataEngineer,Eilene,Calvin,McKenzie,Detail
EM0020,1967-09-18,1995-09-16,1979-08-08,Male,Tester,Harris,Jeannetta,Reinger,Detail
EM0021,1962-02-05,1996-07-02,1970-07-26,Female,UX/UI,Freddie,Rosemarie,Goldner,Detail
EM0022,1957-06-23,1970-01-02,1973-06-26,Female,UX/UI,Lavern,Edris,Walter,Detail
